#####################################
#####################################
#######  					  #######	
####### THE KINGDOM OF GONDOR #######
#######						  #######	
#####################################
#####################################
###
## In order: 
## Gondor Proper
# House of Anárionath, Kings of Gondor
# House of Húrinionath, Stewards of Gondor
# House of Imrazôrionath, Princes of Dol Amroth
# House of Eärnur, Sealords of Lebennin
# House of Ausir, High Lords of Lossarnach
# House of Malandil, High Lords of Lamedon
# House of Olindur, High Lords of Anfalas
# House of Halboron, High Lords of Pinnath Gelin
# House of Minadirionath, Lords of Entyn-i-Onodlo
# House of Rodirionath, Lords of Gardhon Fuir
# House of Anwar, counts of the Eyrn Fuir
# House of Yrchdaugnir, Lords of Doranorien
# House of Linnarion, Lords of Celosien
# House of Arphenian, Lords of Lebennivet
# House of Celebhatol, Lords of Arnach
# House of Imlothiath, Lords of Edhelion
# House of Durthoron, Lords of Anghabar
# House of Celebharn, Lords of Methrast
# House of Heledir, Lords of Tolfalas
# House of Axanturionath, Lords of Tarlang
# House of Brandirion, Lords of Morthond Vale
# House of Gwaihirion, Captains of Isengard
# House of Authrom, Lords of Rhandir
# House of Palantirith, Lords of Serelond

### Houses of Ithilien (Trig TBF)
# House of Alagos, first Lords of Harithilien
# House of Astandurionath, latest Lords of Harithilien
# House of Arandal, Dukes of Cormalthen
# House of Drinbar, lords of the Nindalf
# House of Finnarphen, lords of Henneth Annun
# House of Asgaril, lords of Forithilien
# House of Faedur, Lords of the Ephel Duath
# House of Wilwarin, later rulers of Coruvegil
# House of Coruvegil, rulers of Coruvegil
# House of Curedain, stewards of the stewards
# House of Rian, cadet of Othnir, rulers of Rian between 1200 and 1700
# House of Othnir, Lords of Othnir
# House of Elemmir, Barons of Abad Elemmir
# House of Usuluni, Courtiers of the Dukes of Emyn Arnen
# House of Glorel, Lords of Glorel
# House of Telengaur, Lords of the Harithilien highlands
# House of Faron, First rulers of Porosir and Morvegil
# House of Morvegil, Dukes of Harithilien after the Kinstrife
# House of Nepos, second Dukes of Harithilien, lords of boths sides of the Poros
# House of Tiridon, cadet of Telengaur, later lords of the Haithilien highlands. 

### Houses of Harondor
# House of Orontorion, Lords of Methir
# House of Thavor, Lords of Laer
# House of Surionath, Lords of Neporos
# House of Morinehtar, Lords of Annun
# house of Súldilion
# House of Rumilion
# House of Calambar, Lords of Narthan (Chief Vanity)
# House of Elentirmo
# House of Seregonir
# House of Calionath, Lords of Harfalas
# House of Amdirvel, Lords of Eredir
# House of Noruinif, Lords of Hyarmen
# House of Maethorionath, Lords of Foraegardh

## Border Realms
# House of Telemnarion, Governors of Umbar
# House of Vinginturion, Lords of Arlefnui
# House of Ohtarion, Lords of Tharagrondost
# House of Isilmonir, Lords of Nethos
# House of Calionath, Lords of Harfalas
# Dor Rhúnen Regents

## Minor Houses / Counts
# House of Himelin	
# House of Dalfelena		
# House of Alfirin	
# House of Dúlinn	
# House of Galadeiliant		
# House of Hardion	
# House of Duneglan	
# House of Tinnubar	
# House of Atanatarionath	
# House of An Rosuldrië
# House of Malanath
# House of An Tyliand
# House of Rond Randir
# House of Rond Rendûl
# House of An Andhen
# House of Imristion
# House of An Lontir
# House of Nos Elmo
# House of An Annodrûn

## Unlanded Houses
# House of Dor Giril 
# House of Manthorionath
# Telcontar DNA Characters
# House of Gilthol (Sol Vanity)

## Angmar Start Date ##
# House of Arastil, Governors of the province of Enedhwaith, based in Southern Tharbad
# House of Forchon, Counts of Riverwatch, guarding the fords of the Angren
# House of Túlion, Holders of Lond Daer (or what's left of it)
# House of Handarod, Governors of the province of Andrast, based in Úlond
# House of Orthonn, Stewards of Tharagrondost until the Kinstrife

## Filler

##############################
##### The Kings of Gondor ####
##############################
# House of Anárionath


	father = 1517
	mother = lineofmanwedur83

	martial = 8
	prowess = 5
	
	trait = physique_good_2
	trait = brave
	trait = education_martial_3
	trait = beauty_good_2
	trait = just
	trait = gregarious
	trait = zealous
	trait = lifestyle_blademaster


	trait = blood_of_numenor_1
	6978.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7008.1.1={
		add_spouse = linesteward41					
		give_nickname = nick_the_fair					
	}
	7052.3.15={
		death = { death_reason = death_battle}					
	}
}	

1519 = {
	name = Arador
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim

	father = 1518
	mother = linesteward41

	
	trait = physique_good_2
	trait = beauty_good_1



	trait = blood_of_numenor_1
	7010.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7108.1.1={
		death = yes					
	}
}	

1520 = {
	name = Arvedui
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim

	father = 1518
	mother = linesteward41

	
	trait = physique_good_1
	trait = beauty_good_2



	trait = blood_of_numenor_1
	7011.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7115.1.1={
		death = yes					
	}
}	

1521 = {
	name = Ivriniel
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim

	female = yes

	father = 1518
	mother = linesteward41

	
	trait = beauty_good_2



	trait = blood_of_numenor_1
	7013.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7121.1.1={
		death = yes					
	}
}	

1522 = {
	name = Luthien
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim

	female = yes

	father = 1517
	mother = lineofmanwedur83

	
	trait = beauty_good_1


	trait = blood_of_numenor_1
	6984.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7004.1.1={
		add_spouse = linearphenian10					
	}
	7089.3.15={
		death = yes					
	}
}	

1523 = {
	name = Hallacar
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim
	
	trait = brave
	trait = zealous
	trait = wrathful
	trait = education_martial_2
	trait = lifestyle_blademaster
	father = 1516

	trait = blood_of_numenor_1
	6956.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	6989.1.1 = {
		add_spouse = 1528					
	}
	7033.1.1 = {
        employer = 1518
    }
	7056.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

1524 = {
	name = Haldir
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim
	
	father = 1523
	mother=1528

	trait = blood_of_numenor_1
	6990.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7033.1.1 = {
        employer = 1518
    }
	7087.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

hirluinsis2 = {
	name = Halwen
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim
	female = yes
	dna = hirluinsis_dna
	
	father = 1517
	mother = lineofmanwedur83

	trait = compassionate
	trait = paranoid
	trait = shy

	sexuality = bisexual

	trait = blood_of_numenor_1
	6989.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7033.1.1 = {
        employer = 1518
    }
	7097.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

1525 = {
	name = Parawen
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim
	female = yes
	
	father = 1523
	mother=1528

	trait = blood_of_numenor_1
	7004.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7033.1.1 = {
        employer = 1518
    }
	7091.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

1526 = {
	name = Serinde
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim
	female = yes
	
	father = 1523
	mother=1528

	trait = blood_of_numenor_1
	7006.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7033.1.1 = {
        employer = 1518
    }
	7110.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

1527 = {
	name = Halbarad
	dynasty = dynasty_pinnath_gelin
	religion = faith_edain
	culture = orodbedhrim
	
	father = 1523
	mother=1528

	trait = blood_of_numenor_1
	7007.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	7033.1.1 = {
        employer = 1518
    }
	7112.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

1528 = {
	name = Tarandis
	religion = faith_edain
	culture = orodbedhrim
	

	female = yes


	trait = blood_of_numenor_1
	6970.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin
		}			
	}
	6989.1.1 = {
		add_spouse = 1523					
	}
	7033.1.1 = {
        employer = 1518
    }
	7078.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

######################################
##### The Lords of Entyn-i-Onodlo #### 
######################################

### House of Riculfing###
#
linericulfing1 = {	#Northron captain, employed by Gondor
    name = Riculf

    dynasty = dynasty_entyn_onodlo
    religion = faith_northmen
    culture = rhovannic

    trait = brave
    trait = stubborn
    trait = gregarious
	trait = education_martial_4
	trait = lifestyle_blademaster
	trait = mundburgian	

    5847.1.17 = {
        birth = yes
    }

    5865.6.27 = {
        add_spouse = linericulfing2
    }

    5916.5.21 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing2 = {
    name = Aragonte
    female = yes

    religion = faith_northmen
    culture = rhovannic

    trait = humble
    trait = temperate
    trait = compassionate

    5848.10.4 = {
        birth = yes
    }

    5932.10.25 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing3 = {
    name = Liuvericho

    dynasty = dynasty_entyn_onodlo
    religion = faith_northmen
    culture = rhovannic

    father = linericulfing1
    mother = linericulfing2

    trait = calm
    trait = just
    trait = generous
	
	trait = education_martial_2
	trait = mundburgian	
	
    5884.12.20 = {
        birth = yes
    }

    5913.2.5 = {
        add_spouse = linericulfing4
    }

    5963.3.2 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing4 = {
    name = Esteliel
    female = yes

    religion = faith_edain
    culture = rhovannic

    trait = arrogant
    trait = forgiving
    trait = lustful

    5883.9.16 = {
        birth = yes
    }

    5923.12.15 = {
        death = { death_reason = death_fall  }
    }
}

linericulfing5 = {
    name = Ainundur

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = rhovannic

    father = linericulfing3
    mother = linericulfing4

    trait = chaste
    trait = craven
    trait = forgiving
	
	trait = education_diplomacy_3
	trait = mundburgian
	
    5915.7.5 = {
        birth = yes
    }

    5940.6.9 = {
        add_spouse = linericulfing6
    }

    5950.8.16 = {
        death = { death_reason = death_crushed  }
    }
}

linericulfing6 = {
    name = Emeldir
    female = yes

    religion = faith_edain
    culture = gondorian

    trait = honest
    trait = generous
    trait = paranoid

    5912.3.18 = {
        birth = yes
    }

    5997.2.16 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing7 = {
    name = Liuva

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = rhovannic

    father = linericulfing5
    mother = linericulfing6

    trait = impatient
    trait = sadistic
    trait = stubborn
	trait = mundburgian
	trait = education_martial_4

    5949.3.22 = {
        birth = yes
    }

    5975.12.16 = {
        add_spouse = linericulfing8
    }

    6018.11.18 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing8 = {
    name = Fingalithil
    female = yes

    religion = faith_edain
    culture = gondorian

    trait = patient
    trait = content
    trait = generous

    5952.9.19 = {
        birth = yes
    }

    6022.8.12 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing9 = {
    name = Mamandur

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing7
    mother = linericulfing8

    trait = honest
    trait = generous
    trait = shy
	trait = education_diplomacy_4	

    5975.7.10 = {
        birth = yes
    }

    5991.2.22 = {
        add_spouse = linericulfing10
    }

    6057.9.17 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing10 = {
    name = Menenda
    female = yes

    religion = faith_northmen
    culture = rhovannic

    trait = shy
    trait = arbitrary
    trait = cynical

    5974.7.15 = {
        birth = yes
    }

    6038.4.5 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing11 = {
    name = Amdir

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing9
    mother = linericulfing10

    trait = fickle
    trait = lustful
    trait = honest

    6003.1.8 = {
        birth = yes
    }

    6024.10.11 = {
        add_spouse = linericulfing12
    }

    6074.10.14 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing12 = {
    name = Esteliel
    female = yes

    religion = faith_edain
    culture = gondorian

    trait = forgiving
    trait = zealous
    trait = gregarious

    6000.3.23 = {
        birth = yes
    }

    6084.2.21 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing13 = {
    name = Hallatan

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing11
    mother = linericulfing12

    trait = temperate
    trait = arrogant
    trait = lustful

    6031.12.21 = {
        birth = yes
    }

    6056.2.20 = {
        add_spouse = linericulfing14
    }

    6110.4.2 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing14 = {
    name = Quiltaye
    female = yes

    religion = faith_edain
    culture = gondorian

    trait = callous
    trait = calm
    trait = gluttonous

    6030.3.17 = {
        birth = yes
    }

    6095.5.22 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing15 = {
    name = Liuva

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing13
    mother = linericulfing14

    trait = chaste
    trait = content
    trait = craven

    6057.12.1 = {
        birth = yes
    }

    6077.2.4 = {
        add_spouse = linericulfing16
    }

    6117.2.16 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing16 = {
    name = Eraniel
    female = yes

    religion = faith_edain
    culture = gondorian

    trait = deceitful
    trait = ambitious
    trait = gregarious

    6060.9.26 = {
        birth = yes
    }

    6131.8.18 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing17 = {
    name = Mindacil

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing15
    mother = linericulfing16

    trait = vengeful
    trait = cynical
    trait = temperate

    6093.12.14 = {
        birth = yes
    }

    6118.3.2 = {
        add_spouse = linericulfing18
    }

    6176.7.5 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing18 = {
    name = Aranel
    female = yes

    religion = faith_edain
    culture = gondorian

    trait = patient
    trait = brave
    trait = greedy

    6090.7.15 = {
        birth = yes
    }

    6164.3.11 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing19 = {
    name = Elemmacil

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing17
    mother = linericulfing18

    trait = brave
    trait = trusting
    trait = patient
	trait = education_martial_3
	trait = reckless
	trait = gallant

    6123.4.19 = {
        birth = yes
    }

    6146.11.20 = {
        add_spouse = lineoftiliondil39sister
    }

    6206.7.6 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing21 = {
    name = Hallatan

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing19
    mother = lineoftiliondil39sister

    trait = just
    trait = fickle
    trait = patient
	
	
	trait = education_martial_3	

	trait = blood_of_numenor_3
    6164.1.4 = {
        birth = yes
    }

    6259.2.6 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing22 = {
    name = Minadir

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing21

		
	trait = blood_of_numenor_3
    6206.1.5 = {
        birth = yes
    }

    6325.5.12 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing23 = {
    name = Vorommacil

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing22

	
	trait = education_martial_3	

	trait = blood_of_numenor_3
    6251.11.2 = {
        birth = yes
    }

    6379.8.11 = {
        death = { death_reason = death_battle }
    }
}

linericulfing24 = {
    name = Eadur

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing23

	
	trait = education_martial_4
	trait = brave
	trait = strategist

	trait = blood_of_numenor_3
    6294.1.3 = {
        birth = yes
    }

    6382.1.3 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing25 = {
    name = Labadal

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing24

	
	trait = blood_of_numenor_2
    6331.1.5 = {
        birth = yes
    }

    6440.1.2 = {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing26 = {
    name = Amdir

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing25

	
	trait = physique_good_1
	trait = education_martial_3
	trait = forder

	trait = blood_of_numenor_2
    6350.5.8 = {
        birth = yes
    }

    6445.12.12= {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing27 = {
    name = Egalmoth

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing26

	
	trait = education_martial_2

	trait = blood_of_numenor_2
    6382.1.3 = {
        birth = yes
    }

    6468.12.5= {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing28 = {
    name = Harathor

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing27

	
	trait = physique_good_1
	trait = education_learning_3
	trait = patient
	trait = shy

	trait = blood_of_numenor_2
    6409.2.6 = {
        birth = yes
    }

    6498.4.7= {
        death = { death_reason = death_natural_causes }
    }
}

linericulfing29 = {
    name = Atanamir

    dynasty = dynasty_entyn_onodlo
    religion = faith_edain
    culture = gondorian

    father = linericulfing28

	
	trait = physique_good_1
	trait = education_martial_3
	trait = brave
	trait = just

	trait = blood_of_numenor_2
    6458.4.1 = {
        birth = yes
    }

    6538.2.7= {
        death = { death_reason = death_battle }
    }
}

### House of Borondirionath ###
#
# https://tolkiengateway.net/wiki/Borondir
# Borondirs ancestors - "Northern Captain who served under the stewards"
# Allegedly also descends of a northman captain who served under the kings of old
#
lineminadir0 = { # Borondir "Udalraph", rider who sent the red arrow to Eorl the Young
	name = Borondir
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

    father = linericulfing29
	
	trait = stubborn
	trait = patient
	trait = brave
	
	trait = education_diplomacy_3
	trait = athletic
	trait = physique_good_2
	trait = loyal	
	trait = diplomat
	trait = gallant
	
	martial = 11
	diplomacy = 9
	prowess = 13


	trait = blood_of_numenor_2
	6495.5.27={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}
	6543.1.1={
		give_nickname = nick_udalraph
		effect = {
			set_relation_friend = character:lineofeorl1 # Eorl the Young
		}
	}
	6543.4.15 = {
		death = { death_reason = death_battle } # Died at the Battle of the Field of Celebrant
	}
}

lineminadir1 = {
	name = Minadir # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir0
	
	trait = just
	trait = patient
	trait = diligent
	
	
	trait = physique_good_1
	trait = education_martial_3
	trait = overseer
	

	trait = blood_of_numenor_2
	6522.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6600.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir1sister = {
	name = Bregil
	female = yes
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir0
	
	trait = just
	trait = impatient
	trait = lustful
	
	trait = physique_good_1
	trait = education_intrigue_3

	diplomacy = 9
	martial = 5
	stewardship = 5
	intrigue = 8
	learning = 2
	prowess = 7

	trait = blood_of_numenor_2

	6523.6.1 = {
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6638.1.1={ # 115
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir2 = {
	name = Denethor # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir0

	
	trait = physique_good_1


	trait = blood_of_numenor_2
	6525.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6631.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir3 = {
	name = Hostandil # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir2

	


	trait = blood_of_numenor_2
	6567.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6678.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir4 = {
	name = Egalmoth # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir3

	


	trait = blood_of_numenor_2
	6607.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6705.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir5 = {
	name = Mindacil # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir4

	
	trait = physique_good_1


	trait = blood_of_numenor_2
	6643.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6749.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir6 = {
	name = Findegil # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir5

	
	trait = physique_good_1



	trait = blood_of_numenor_2
	6679.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6801.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir6sister = {
	name = Findis
	female = yes

	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir5

	sexuality = heterosexual

	trait = physique_good_1

	trait = blood_of_numenor_2
	
	trait = compassionate
	trait = shy
	trait = trusting

	diplomacy = 9
	martial = 5
	stewardship = 7
	intrigue = 6
	learning = 7
	prowess = 8

	6683.5.6 = {
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}	
	}
	6806.5.1 = {
		death = { death_reason = death_natural_causes }
	}
}

lineminadir7 = {
	name = Mormegil # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir6

	
	trait = physique_good_1



	trait = blood_of_numenor_2
	6718.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6835.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir8 = {
	name = Incandur # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir7

	



	trait = blood_of_numenor_2
	6756.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6859.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir9 = {
	name = Siriondil # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir8

	



	trait = blood_of_numenor_2
	6801.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6920.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir10 = {
	name = Orthalion # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir9

	



	trait = blood_of_numenor_2
	6846.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6955.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir11 = {
	name = Voromir # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir10

	



	trait = blood_of_numenor_2
	6890.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6991.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir12 = {
	name = Yulion # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir11

	
	trait = intellect_good_1



	trait = blood_of_numenor_2
	6923.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}

	6960.1.1={
		add_spouse = lineofangranc16		
	}

	7030.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir13 = {
	name = Ithilbor # Lord of Entyn-i-Onodlo
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian
	dna = ithilbor_dna

	father = lineminadir12
	mother = lineofangranc16

	
	trait = patient
	trait = gregarious
	trait = honest
	trait = education_diplomacy_3
	trait = intellect_good_1
	



	trait = blood_of_numenor_1
	6965.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}
	6990.1.1={
		add_spouse = lineminadir14					
	}
	7070.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir14 = {
	name = Emeldire # Wife of Ithilbor
	religion = faith_edain
	culture = gondorian

	female = yes

	



	trait = blood_of_numenor_1
	6962.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}
	6990.1.1={
		add_spouse = lineminadir13					
	}
	7071.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir15 = {
	name = Ondoher 
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir13
	mother = lineminadir14

	trait = just
	trait = lazy
	trait = patient
	
	trait = education_martial_3

	trait = blood_of_numenor_1
	6993.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}
	7022.3.25 = {
		add_spouse = linebenrodir82daughter
	}
	7091.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir16 = {
	name = Edhetariel 
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	female = yes

	father = lineminadir13
	mother = lineminadir14

	
	trait = intellect_good_1



	trait = blood_of_numenor_1
	6999.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}
	7030.1.1 = {
		add_spouse = lineyrchdaugnir8					
	}
	7106.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir17 = {
	name = Grithnir 
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	father = lineminadir13
	mother = lineminadir14

	trait = calm
	trait = brave
	trait = patient
	
	
	trait = intellect_good_1
	trait = education_martial_2
	



	trait = blood_of_numenor_1
	7003.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}
	7103.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir18 = {
	name = Elanna 
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	female = yes

	father = lineminadir12
	mother = lineofangranc16

	
	trait = intellect_good_1



	trait = blood_of_numenor_1
	6968.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}
	7079.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir19 = {
	name = Meneloth 
	dynasty_house = house_borondirionath
	religion = faith_edain
	culture = gondorian

	female = yes

	father = lineminadir12
	mother = lineofangranc16

	trait = brave
	trait = arrogant
	trait = ambitious
	
	
	trait = education_diplomacy_2



	trait = blood_of_numenor_1
	6976.1.1={
		birth = yes
		effect = {
			learn_language = language_sindarin	
		}			
	}
	7089.1.1={
		death = { death_reason = death_natural_causes }
	}
}	

lineminadir20 = {
	name = Oarwen 
